VM2 Rank=1      G=-1005.066         E=-788.888          -TS=-216.178            
VM2 Rank=2      G=-1004.624         E=-787.909          -TS=-216.715            
VM2 Rank=3      G=-1003.796         E=-787.693          -TS=-216.103            
VM2 Rank=4      G=-1003.359         E=-787.781          -TS=-215.578            
VM2 Rank=5      G=-1003.065         E=-786.817          -TS=-216.248            
VM2 Rank=6      G=-1002.846         E=-786.999          -TS=-215.847            
VM2 Rank=7      G=-1002.545         E=-787.413          -TS=-215.132            
VM2 Rank=8      G=-1002.280         E=-787.293          -TS=-214.988            
VM2 Rank=9      G=-1002.071         E=-785.285          -TS=-216.785            
VM2 Rank=10     G=-1001.734         E=-785.429          -TS=-216.305            
VM2 Rank=11     G=-1001.499         E=-785.360          -TS=-216.139            
VM2 Rank=12     G=-1001.449         E=-786.563          -TS=-214.886            
VM2 Rank=13     G=-1001.280         E=-784.841          -TS=-216.439            
VM2 Rank=14     G=-1001.233         E=-784.557          -TS=-216.675            
VM2 Rank=15     G=-1001.186         E=-785.161          -TS=-216.025            
VM2 Rank=16     G=-1001.159         E=-785.570          -TS=-215.589            
VM2 Rank=17     G=-1001.047         E=-784.744          -TS=-216.304            
VM2 Rank=18     G=-1000.840         E=-784.440          -TS=-216.400            
VM2 Rank=19     G=-1000.602         E=-784.295          -TS=-216.307            
VM2 Rank=20     G=-1000.451         E=-785.373          -TS=-215.078            
VM2 Rank=21     G=-1000.386         E=-784.404          -TS=-215.981            
VM2 Rank=22     G=-1000.380         E=-784.528          -TS=-215.852            
VM2 Rank=23     G=-1000.342         E=-784.465          -TS=-215.877            
VM2 Rank=24     G=-1000.209         E=-783.666          -TS=-216.543            
VM2 Rank=25     G=-1000.204         E=-784.962          -TS=-215.242            
VM2 Rank=26     G=-1000.180         E=-782.797          -TS=-217.383            
VM2 Rank=27     G=-999.444          E=-784.530          -TS=-214.914            
VM2 Rank=28     G=-999.305          E=-783.225          -TS=-216.079            
VM2 Rank=29     G=-999.192          E=-783.937          -TS=-215.256            
VM2 Rank=30     G=-998.955          E=-783.594          -TS=-215.361            
