VM2 Rank=1      G=-1008.241         E=-794.271          -TS=-213.971            
VM2 Rank=2      G=-1007.897         E=-793.751          -TS=-214.146            
VM2 Rank=3      G=-1006.968         E=-793.658          -TS=-213.310            
VM2 Rank=4      G=-1005.988         E=-793.608          -TS=-212.380            
VM2 Rank=5      G=-1005.643         E=-791.589          -TS=-214.054            
VM2 Rank=6      G=-1005.255         E=-791.039          -TS=-214.217            
VM2 Rank=7      G=-1004.579         E=-791.455          -TS=-213.124            
VM2 Rank=8      G=-1004.011         E=-790.982          -TS=-213.028            
VM2 Rank=9      G=-1003.537         E=-790.264          -TS=-213.273            
VM2 Rank=10     G=-1003.440         E=-790.741          -TS=-212.699            
VM2 Rank=11     G=-1003.147         E=-790.906          -TS=-212.240            
VM2 Rank=12     G=-1002.766         E=-789.457          -TS=-213.310            
VM2 Rank=13     G=-1002.697         E=-790.915          -TS=-211.781            
VM2 Rank=14     G=-1002.425         E=-789.102          -TS=-213.323            
VM2 Rank=15     G=-1002.154         E=-789.519          -TS=-212.636            
VM2 Rank=16     G=-1001.354         E=-787.670          -TS=-213.684            
VM2 Rank=17     G=-1001.091         E=-788.528          -TS=-212.563            
VM2 Rank=18     G=-1001.016         E=-787.239          -TS=-213.777            
VM2 Rank=19     G=-1000.916         E=-788.534          -TS=-212.381            
VM2 Rank=20     G=-1000.713         E=-787.676          -TS=-213.037            
VM2 Rank=21     G=-1000.140         E=-787.808          -TS=-212.332            
VM2 Rank=22     G=-999.733          E=-786.599          -TS=-213.134            
VM2 Rank=23     G=-999.586          E=-787.424          -TS=-212.162            
VM2 Rank=24     G=-999.151          E=-787.232          -TS=-211.919            
VM2 Rank=25     G=-999.143          E=-787.738          -TS=-211.406            
VM2 Rank=26     G=-999.067          E=-787.410          -TS=-211.657            
VM2 Rank=27     G=-998.988          E=-787.324          -TS=-211.664            
VM2 Rank=28     G=-998.649          E=-786.218          -TS=-212.431            
VM2 Rank=29     G=-998.470          E=-786.524          -TS=-211.946            
VM2 Rank=30     G=-998.453          E=-785.143          -TS=-213.310            
