VM2 Rank=1      G=216.676           E=123.244           -TS=93.432              
VM2 Rank=2      G=216.793           E=123.387           -TS=93.406              
VM2 Rank=3      G=217.205           E=123.301           -TS=93.904              
VM2 Rank=4      G=217.219           E=123.811           -TS=93.408              
VM2 Rank=5      G=217.223           E=123.366           -TS=93.857              
VM2 Rank=6      G=217.259           E=124.235           -TS=93.024              
VM2 Rank=7      G=217.265           E=124.154           -TS=93.111              
VM2 Rank=8      G=217.275           E=123.732           -TS=93.544              
VM2 Rank=9      G=217.333           E=123.775           -TS=93.558              
VM2 Rank=10     G=217.427           E=121.258           -TS=96.169              
VM2 Rank=11     G=217.429           E=123.530           -TS=93.899              
VM2 Rank=12     G=217.438           E=124.448           -TS=92.990              
VM2 Rank=13     G=217.442           E=124.062           -TS=93.381              
VM2 Rank=14     G=217.462           E=124.268           -TS=93.194              
VM2 Rank=15     G=217.508           E=122.626           -TS=94.882              
VM2 Rank=16     G=217.518           E=119.868           -TS=97.649              
VM2 Rank=17     G=217.526           E=124.103           -TS=93.423              
VM2 Rank=18     G=217.531           E=123.555           -TS=93.977              
VM2 Rank=19     G=217.536           E=124.617           -TS=92.919              
VM2 Rank=20     G=217.538           E=124.007           -TS=93.531              
VM2 Rank=21     G=217.570           E=121.540           -TS=96.030              
VM2 Rank=22     G=217.629           E=126.580           -TS=91.049              
VM2 Rank=23     G=217.633           E=123.743           -TS=93.890              
VM2 Rank=24     G=217.640           E=122.880           -TS=94.761              
VM2 Rank=25     G=217.655           E=123.955           -TS=93.700              
VM2 Rank=26     G=217.666           E=122.790           -TS=94.876              
VM2 Rank=27     G=217.673           E=123.461           -TS=94.212              
VM2 Rank=28     G=217.674           E=120.118           -TS=97.556              
VM2 Rank=29     G=217.678           E=124.309           -TS=93.368              
VM2 Rank=30     G=217.684           E=123.795           -TS=93.890              
