VM2 Rank=1      G=209.727           E=120.601           -TS=89.126              
VM2 Rank=2      G=209.796           E=120.679           -TS=89.117              
VM2 Rank=3      G=209.853           E=120.095           -TS=89.758              
VM2 Rank=4      G=209.854           E=120.538           -TS=89.316              
VM2 Rank=5      G=209.872           E=120.723           -TS=89.149              
VM2 Rank=6      G=209.885           E=120.571           -TS=89.314              
VM2 Rank=7      G=209.899           E=120.141           -TS=89.758              
VM2 Rank=8      G=209.907           E=120.756           -TS=89.151              
VM2 Rank=9      G=209.942           E=120.152           -TS=89.789              
VM2 Rank=10     G=209.981           E=120.810           -TS=89.171              
VM2 Rank=11     G=209.995           E=120.803           -TS=89.192              
VM2 Rank=12     G=210.011           E=121.341           -TS=88.670              
VM2 Rank=13     G=210.019           E=121.027           -TS=88.992              
VM2 Rank=14     G=210.022           E=121.140           -TS=88.882              
VM2 Rank=15     G=210.028           E=120.620           -TS=89.407              
VM2 Rank=16     G=210.030           E=120.620           -TS=89.410              
VM2 Rank=17     G=210.055           E=120.255           -TS=89.800              
VM2 Rank=18     G=210.079           E=121.407           -TS=88.672              
VM2 Rank=19     G=210.083           E=120.284           -TS=89.799              
VM2 Rank=20     G=210.085           E=120.311           -TS=89.774              
VM2 Rank=21     G=210.118           E=121.259           -TS=88.860              
VM2 Rank=22     G=210.140           E=120.262           -TS=89.879              
VM2 Rank=23     G=210.155           E=120.893           -TS=89.262              
VM2 Rank=24     G=210.189           E=120.945           -TS=89.244              
VM2 Rank=25     G=210.190           E=121.346           -TS=88.844              
VM2 Rank=26     G=210.214           E=121.834           -TS=88.380              
VM2 Rank=27     G=210.230           E=121.538           -TS=88.692              
VM2 Rank=28     G=210.240           E=121.165           -TS=89.075              
VM2 Rank=29     G=210.265           E=118.139           -TS=92.125              
VM2 Rank=30     G=210.277           E=120.421           -TS=89.856              
