VM2 Rank=1      G=-1061.715         E=-832.014          -TS=-229.701            
VM2 Rank=2      G=-1060.506         E=-830.815          -TS=-229.692            
VM2 Rank=3      G=-1059.443         E=-828.634          -TS=-230.809            
VM2 Rank=4      G=-1058.610         E=-828.453          -TS=-230.157            
VM2 Rank=5      G=-1058.305         E=-827.427          -TS=-230.879            
VM2 Rank=6      G=-1058.238         E=-830.269          -TS=-227.968            
VM2 Rank=7      G=-1057.908         E=-827.235          -TS=-230.673            
VM2 Rank=8      G=-1057.847         E=-827.422          -TS=-230.425            
VM2 Rank=9      G=-1057.823         E=-827.052          -TS=-230.772            
VM2 Rank=10     G=-1057.039         E=-829.362          -TS=-227.676            
VM2 Rank=11     G=-1056.788         E=-826.050          -TS=-230.738            
VM2 Rank=12     G=-1056.670         E=-826.312          -TS=-230.358            
VM2 Rank=13     G=-1056.384         E=-827.925          -TS=-228.459            
VM2 Rank=14     G=-1056.180         E=-826.722          -TS=-229.458            
VM2 Rank=15     G=-1056.170         E=-825.817          -TS=-230.353            
VM2 Rank=16     G=-1056.114         E=-825.962          -TS=-230.152            
VM2 Rank=17     G=-1056.105         E=-825.860          -TS=-230.245            
VM2 Rank=18     G=-1055.908         E=-826.793          -TS=-229.115            
VM2 Rank=19     G=-1055.649         E=-826.520          -TS=-229.129            
VM2 Rank=20     G=-1055.207         E=-825.406          -TS=-229.801            
VM2 Rank=21     G=-1055.185         E=-824.747          -TS=-230.437            
VM2 Rank=22     G=-1055.133         E=-826.438          -TS=-228.695            
VM2 Rank=23     G=-1055.113         E=-824.279          -TS=-230.834            
VM2 Rank=24     G=-1054.934         E=-823.920          -TS=-231.014            
VM2 Rank=25     G=-1054.919         E=-825.543          -TS=-229.376            
VM2 Rank=26     G=-1054.789         E=-825.552          -TS=-229.237            
VM2 Rank=27     G=-1054.786         E=-824.593          -TS=-230.192            
VM2 Rank=28     G=-1054.773         E=-825.799          -TS=-228.974            
VM2 Rank=29     G=-1054.561         E=-825.323          -TS=-229.238            
VM2 Rank=30     G=-1054.404         E=-825.260          -TS=-229.145            
