VM2 Rank=1      G=226.666           E=130.291           -TS=96.374              
VM2 Rank=2      G=226.669           E=130.244           -TS=96.425              
VM2 Rank=3      G=226.685           E=130.305           -TS=96.379              
VM2 Rank=4      G=226.734           E=130.379           -TS=96.355              
VM2 Rank=5      G=227.026           E=130.400           -TS=96.626              
VM2 Rank=6      G=227.065           E=129.064           -TS=98.002              
VM2 Rank=7      G=227.073           E=130.457           -TS=96.616              
VM2 Rank=8      G=227.099           E=130.877           -TS=96.222              
VM2 Rank=9      G=227.106           E=129.106           -TS=98.000              
VM2 Rank=10     G=227.130           E=130.917           -TS=96.213              
VM2 Rank=11     G=227.171           E=131.104           -TS=96.067              
VM2 Rank=12     G=227.175           E=131.591           -TS=95.583              
VM2 Rank=13     G=227.175           E=131.045           -TS=96.130              
VM2 Rank=14     G=227.179           E=131.109           -TS=96.071              
VM2 Rank=15     G=227.189           E=131.047           -TS=96.142              
VM2 Rank=16     G=227.194           E=130.492           -TS=96.702              
VM2 Rank=17     G=227.195           E=128.435           -TS=98.760              
VM2 Rank=18     G=227.220           E=130.948           -TS=96.272              
VM2 Rank=19     G=227.222           E=131.592           -TS=95.631              
VM2 Rank=20     G=227.243           E=128.476           -TS=98.766              
VM2 Rank=21     G=227.243           E=130.981           -TS=96.262              
VM2 Rank=22     G=227.273           E=130.578           -TS=96.695              
VM2 Rank=23     G=227.301           E=132.071           -TS=95.230              
VM2 Rank=24     G=227.312           E=129.013           -TS=98.299              
VM2 Rank=25     G=227.313           E=129.019           -TS=98.293              
VM2 Rank=26     G=227.336           E=130.618           -TS=96.718              
VM2 Rank=27     G=227.356           E=130.650           -TS=96.706              
VM2 Rank=28     G=227.360           E=132.127           -TS=95.234              
VM2 Rank=29     G=227.365           E=128.267           -TS=99.098              
VM2 Rank=30     G=227.398           E=131.614           -TS=95.784              
