VM2 Rank=1      G=212.854           E=118.693           -TS=94.161              
VM2 Rank=2      G=212.889           E=118.720           -TS=94.170              
VM2 Rank=3      G=212.924           E=118.131           -TS=94.793              
VM2 Rank=4      G=212.941           E=118.505           -TS=94.436              
VM2 Rank=5      G=212.964           E=118.521           -TS=94.443              
VM2 Rank=6      G=212.980           E=118.178           -TS=94.802              
VM2 Rank=7      G=213.100           E=118.783           -TS=94.318              
VM2 Rank=8      G=213.135           E=119.365           -TS=93.770              
VM2 Rank=9      G=213.136           E=119.500           -TS=93.636              
VM2 Rank=10     G=213.152           E=119.391           -TS=93.761              
VM2 Rank=11     G=213.168           E=118.835           -TS=94.333              
VM2 Rank=12     G=213.194           E=118.286           -TS=94.908              
VM2 Rank=13     G=213.205           E=119.538           -TS=93.667              
VM2 Rank=14     G=213.216           E=118.300           -TS=94.917              
VM2 Rank=15     G=213.242           E=119.489           -TS=93.754              
VM2 Rank=16     G=213.293           E=119.638           -TS=93.655              
VM2 Rank=17     G=213.341           E=119.864           -TS=93.477              
VM2 Rank=18     G=213.355           E=119.354           -TS=94.001              
VM2 Rank=19     G=213.360           E=119.204           -TS=94.155              
VM2 Rank=20     G=213.362           E=116.293           -TS=97.070              
VM2 Rank=21     G=213.368           E=119.398           -TS=93.970              
VM2 Rank=22     G=213.384           E=119.671           -TS=93.713              
VM2 Rank=23     G=213.394           E=117.796           -TS=95.599              
VM2 Rank=24     G=213.407           E=119.758           -TS=93.649              
VM2 Rank=25     G=213.422           E=119.252           -TS=94.170              
VM2 Rank=26     G=213.448           E=119.969           -TS=93.479              
VM2 Rank=27     G=213.452           E=119.395           -TS=94.057              
VM2 Rank=28     G=213.473           E=120.044           -TS=93.429              
VM2 Rank=29     G=213.475           E=119.045           -TS=94.430              
VM2 Rank=30     G=213.497           E=119.055           -TS=94.442              
