VM2 Rank=1      G=211.560           E=129.422           -TS=82.138              
VM2 Rank=2      G=211.675           E=129.112           -TS=82.563              
VM2 Rank=3      G=211.706           E=129.496           -TS=82.210              
VM2 Rank=4      G=211.707           E=129.586           -TS=82.121              
VM2 Rank=5      G=211.749           E=129.199           -TS=82.551              
VM2 Rank=6      G=211.759           E=129.663           -TS=82.096              
VM2 Rank=7      G=211.794           E=129.306           -TS=82.488              
VM2 Rank=8      G=211.851           E=129.297           -TS=82.554              
VM2 Rank=9      G=211.862           E=129.661           -TS=82.201              
VM2 Rank=10     G=211.879           E=128.963           -TS=82.916              
VM2 Rank=11     G=211.885           E=129.658           -TS=82.227              
VM2 Rank=12     G=211.924           E=129.144           -TS=82.780              
VM2 Rank=13     G=211.931           E=130.254           -TS=81.677              
VM2 Rank=14     G=211.954           E=129.404           -TS=82.549              
VM2 Rank=15     G=211.954           E=129.611           -TS=82.344              
VM2 Rank=16     G=211.984           E=129.496           -TS=82.488              
VM2 Rank=17     G=211.992           E=129.370           -TS=82.622              
VM2 Rank=18     G=212.037           E=130.000           -TS=82.037              
VM2 Rank=19     G=212.069           E=130.333           -TS=81.736              
VM2 Rank=20     G=212.101           E=129.092           -TS=83.009              
VM2 Rank=21     G=212.103           E=129.258           -TS=82.845              
VM2 Rank=22     G=212.119           E=129.091           -TS=83.028              
VM2 Rank=23     G=212.135           E=130.095           -TS=82.040              
VM2 Rank=24     G=212.136           E=129.922           -TS=82.214              
VM2 Rank=25     G=212.150           E=130.069           -TS=82.081              
VM2 Rank=26     G=212.154           E=130.589           -TS=81.566              
VM2 Rank=27     G=212.158           E=129.535           -TS=82.624              
VM2 Rank=28     G=212.160           E=129.868           -TS=82.292              
VM2 Rank=29     G=212.166           E=130.080           -TS=82.086              
VM2 Rank=30     G=212.185           E=129.123           -TS=83.061              
